"(Intercept)","Internal_Mobility_Index","External_Mobility_Index","Per_Capita_Income","Average_Household_Persons","Inmigrants","Total_Households_Housed","Housing_Precariousness_Index","Higher_Education_Percentage","Commune"
-0.033462376927281,0.0428847809871947,-0.0939724049464005,0.0812023392723055,-0.015618835774856,0.0506378385127621,-0.0716588864535938,-0.00811900726961494,-0.189955628131224,"Cerrillos"
-0.137278139653523,-0.109781919750572,-0.131836975269805,-0.348307379242144,0.0892595891879808,0.187621852505881,-0.0968861321639616,-0.0349203873384362,0.202664633981145,"Cerro Navia"
-0.0705899315352898,-0.0602204501584812,-0.0604737858046607,-0.168187353739427,0.0377681151204483,0.092363263378606,-0.039750109706536,-0.019906441259333,0.0943000004446234,"Conchali"
-0.00712833070921744,-0.0455379209601578,0.0802092088342333,0.145956461756016,-0.10611579860137,-0.0431469176564398,0.119657986510315,-0.027138150363427,-0.150150543655903,"El Bosque"
0.184609181301244,0.223923501712238,0.0671770717629473,0.437943093828989,-0.0526391860940641,-0.205872624578809,-0.00204085476826679,0.0679713347786706,-0.29073357235246,"Estacion Central"
0.0893414798156358,0.112741963428192,0.00913424061692577,0.124674877905059,0.0220093370326906,-0.0804350868409594,-0.0406663308476925,0.0423855948155247,-0.0435018454317395,"Huechuraba"
-0.176144081521625,-0.306189811338464,0.0636415227022743,-0.410103145721874,-0.016636290463528,0.14574886619631,0.151504551517173,-0.087511855473647,0.33299020817904,"Independencia"
-0.118925873176898,-0.147018855557241,-0.037890139428094,-0.2740408553747,0.0279066340999619,0.129590539804246,0.00873240735480763,-0.0452255201241074,0.179934028598353,"La Cisterna"
0.187087932490846,0.230322891939198,0.0752859592764969,0.503137130045651,-0.0812923158020921,-0.218300943830289,0.0148119238191495,0.0639402145789064,-0.365138299819419,"La Florida"
-0.209437998048452,-0.287524583416824,-0.0274963555200247,-0.481546598761732,0.0291536927779993,0.212805999099961,0.0611213054013851,-0.0865220467562904,0.335603318842976,"La Granja"
-0.0952353130629041,-0.0320719542370655,-0.138394872244561,-0.17552550436854,0.0581752728957907,0.140813270532584,-0.112276763344157,-0.0201940491288236,0.033922813619748,"La Pintana"
-0.0314955766613851,-0.256736855097451,0.31096948225551,0.04764317185736,-0.201987359855484,-0.104687981212216,0.392590091204412,-0.0751852865913193,0.0613700077091298,"La Reina"
0.0951225374140446,0.0808341098568293,0.090694843842773,0.270618405578077,-0.0735398651046053,-0.133133215748895,0.0705672156967069,0.0224888351951844,-0.177374359455983,"Las Condes"
0.0520242965268616,0.0364547050693548,0.0195073949705433,-0.0558480633699294,0.0584829011815355,-0.0375229418208621,-0.0256100577152575,0.0302152800388382,0.142571973601648,"Lo Barnechea"
-0.1299555461703,-0.0902098752210405,-0.14331000808917,-0.328728072777087,0.0933124620852718,0.184710888319588,-0.11307982636659,-0.0299075773739844,0.181144582015183,"Lo Espejo"
-0.0203832937091748,0.0262326773932385,-0.0836137461798724,-0.0819664687176165,0.0575959673098257,0.0563138772326237,-0.0931423409145356,0.00781470904042461,0.0351928765050048,"Lo Prado"
-0.0850759538660823,-0.260523147023729,0.16104638491583,-0.314841895076372,-0.0250492492249752,0.0331018289439113,0.207863413417022,-0.0576182593043155,0.373477420471276,"Macul"
0.19149643942727,0.0577677767373918,0.316524972438656,0.498689884051362,-0.195884778972788,-0.314894070209976,0.291105836080902,0.0248927966987731,-0.230952689503167,"Maipu"
0.122213019138444,0.028877614335941,0.210385970138753,0.305652700751142,-0.124012828479082,-0.202773932615078,0.193713525745363,0.0152170663029575,-0.127337811821033,"Nunoa"
0.0296854980852061,-0.0294753727500959,0.0951872828959855,0.0457878651733715,-0.0404149611729935,-0.0631473706003303,0.0942035407263885,-0.00218495572953362,0.0271921504284412,"Pedro Aguirre Cerda"
0.0519109524608728,-0.141291806353954,0.299754745679205,0.134751784102153,-0.159574989344135,-0.168700619468542,0.327483731016297,-0.0303651384509146,0.0472931996168145,"Penaflor"
0.0504146351855277,0.162142641989359,-0.122938773957457,0.101753749972123,0.063379874322172,0.000907353477376822,-0.167302313475665,0.0441987793288181,-0.129294205338303,"Providencia"
-0.127221501247008,-0.142438637074582,-0.0544955072150233,-0.261734368131174,0.023911667021327,0.140440440967473,-0.00237850798792105,-0.0479127185613488,0.146048435583754,"Pudahuel"
-0.125386493998805,-0.0878026724030784,-0.144201162617363,-0.352117244596286,0.107336519263072,0.18456680766142,-0.121006086969244,-0.0256510255344422,0.215453441281586,"Puente Alto"
0.0770105054406292,0.185805338151856,-0.106540698627301,0.139766144604019,0.0627441892938393,-0.0284724660502261,-0.163383095390304,0.0543859902780007,-0.136375784292766,"Quilicura"
-0.0442109158595228,0.0173674364982259,-0.118723606034296,-0.134055580509148,0.0757482615592902,0.0926781559454861,-0.122967893870631,0.00335503571383749,0.0536552042445053,"Quinta Normal"
0.138306359549982,0.123516809450578,0.142631234637244,0.488332857887787,-0.151238951481557,-0.208731188623349,0.128712549880397,0.0249243743746531,-0.371039351682716,"Recoleta"
-0.101636605078536,-0.0368528642099368,-0.151900992515217,-0.226338358509992,0.0802003069779784,0.156425677834401,-0.130303144138079,-0.0183926948868284,0.0828507218522475,"Renca"
0.000187681210215884,0.08295039898687,-0.130550566325062,-0.0888158537269004,0.101708555830939,0.0610166572742901,-0.164593629923618,0.0283005792637831,0.0445808286152696,"San Bernardo"
0.0411618336486213,0.0549962295962102,0.00931868667496552,0.10392493793543,-0.0114932207845013,-0.0444225714159018,-0.00613189634003861,0.0157470088772387,-0.0755688162153926,"San Joaquin"
