"(Intercept)","Internal_Mobility_Index","External_Mobility_Index","Commune","lower","upper"
-0.268738996330748,0.28614313156341,-0.302731737756658,"Santiago",-0.362548827128786,-0.24291464838453
0.453242441349816,-0.0448836357449441,-0.0683568399811973,"Lo Espejo",-0.0785915214865117,-0.0581221584758828
0.465880383083145,-0.0360924158019994,-0.067725222721759,"Renca",-0.0846894199591817,-0.0507610254843364
0.450267444758472,-0.0318332112609881,-0.0635549148930887,"La Pintana",-0.0863577130762537,-0.0407521167099236
0.503395471893102,-0.0418480595687707,-0.0628005579137973,"Puente Alto",-0.130476770672699,0.0048756548451043
0.427945160750489,-0.0540617245141729,-0.0612127783811763,"Cerro Navia",-0.0815556967441619,-0.0408698600181908
-0.202867160916249,0.0793041589843378,-0.0567365479445172,"Providencia",-0.104317453343669,-0.00915564254536543
0.211970172897184,0.0302670644803338,-0.0464891947032618,"San Bernardo",-0.0997858561451084,0.00680746673858491
0.172850632877175,0.0226019659369411,-0.0447158034482494,"Cerrillos",-0.0569899151998721,-0.0324416916966268
0.33346898164693,-0.034652058765767,-0.0407231397204222,"Quinta Normal",-0.0672392962886447,-0.0142069831521996
0.0354160821710796,0.0769109230417312,-0.0392254521085238,"Quilicura",-0.0665114085255781,-0.0119394956914695
0.211509679855745,0.00799249479446058,-0.0389721450243322,"Lo Prado",-0.0549728780802816,-0.0229714119683828
0.251372101587299,-0.0273160453832318,-0.0304211447469776,"Conchali",-0.0430556075988619,-0.0177866818950933
0.37441793037509,-0.0614442120183895,-0.030053842018372,"Pudahuel",-0.0563260379991134,-0.00378164603763069
0.168906753820082,-0.0642384495009845,-0.0203682948459928,"La Cisterna",-0.0304561753456159,-0.0102804143463697
0.193011199811471,-0.127059052837053,-0.0174431435924507,"La Granja",-0.0256217933604747,-0.00926449382442678
-0.0588839346978734,0.0193596706468157,0.00313749316916569,"San Joaquin",-0.00609700201031002,0.0123719883486414
-0.135015726967224,0.0533798989574116,0.00401106405967807,"Huechuraba",-0.0209470677991482,0.0289691959185043
-0.147730833882183,0.0600287333080238,0.00720101616278847,"San Miguel",-0.0150526457216976,0.0294546780472745
0.287841177469877,-0.144275693805044,0.0254004346139781,"Independencia",-0.000574223595802233,0.0513750928237584
-0.474497710128975,0.109837438657702,0.0293880520328396,"Estacion Central",0.00437209618352734,0.0544040078821518
0.0870403764270924,-0.0173651589630783,0.0306109866092587,"El Bosque",0.00438214624038942,0.0568398269781279
-0.442018771026918,0.046420122067918,0.0340881060704843,"Las Condes",-0.0328592438091863,0.101035455950155
-0.508670615151736,0.10669833599406,0.0379384810767659,"La Florida",-0.00666498533619139,0.0825419474897232
-0.199729820642659,-0.00123728157921495,0.0383216440778248,"Pedro Aguirre Cerda",0.0258101868625641,0.0508331012930856
-0.0719335338069476,-0.000296853255266794,0.0387195593772933,"Lo Barnechea",-0.0130369032699835,0.0904760220245702
-0.192447962982972,-0.018932455793918,0.0415010716743248,"San Ramon",0.0253430979885753,0.0576590453600743
-0.00133432810542246,-0.102113052780133,0.0646709957116385,"Macul",0.0395652365249599,0.0897767548983171
-0.309678212155575,0.0470864971672406,0.0707424539520919,"Recoleta",0.0418898927003207,0.0995950152038632
-0.193775060511404,-0.0415183284967637,0.0823249746215246,"Vitacura",0.0543221174143345,0.110327831828715
-0.477635018859652,0.0171907042061176,0.0939559739535064,"Nunoa",0.0558690694707066,0.132042878436306
-0.187899123381005,0.0452490100550801,0.128271850361906,"Maipu",0.0789823748281046,0.177561325895708
-0.24544757886743,-0.055426474418843,0.12862490086486,"Penaflor",0.092568773105836,0.164681028623884
-0.510231602337116,-0.103875985361185,0.13262170139494,"La Reina",0.110058387659276,0.155185015130604
